URN	(Suggested) Full_URN	Title	Author	Editor	Publisher	Publication Year
tlg2018.tlg021a		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
tlg2018.tlg022		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
tlg2018.tlg02a		EUSEBIUS WERKE	DR. IVAR A. HEIKEL	DR. IVAR A. HEIKEL	J.C.HINRICHS'SCHE BUCHHANDLUNG	1902
tlg2021.001letters		EPIPHANIUS	D.DR. KARL HOLL	D.DR. KARL HOLL	J. C. HINRICHS'SCHE BUCHHANDLUNG	1915
tlg2021.tlg001		EPIPHANIUS	D.DR. KARL HOLL	D.DR. KARL HOLL	J. C. HINRICHS'SCHE BUCHHANDLUNG	1915
tlg2021.tlg002		EPIPHANIUS	D.DR. KARL HOLL	D.DR. KARL HOLL	J. C. HINRICHS'SCHE BUCHHANDLUNG	1915
tlg2021.tlg003		EPIPHANIUS	D.DR. KARL HOLL	D.DR. KARL HOLL	J. C. HINRICHS'SCHE BUCHHANDLUNG	1915
tlg2021.vita		EPIPHANIUS	D.DR. KARL HOLL	D.DR. KARL HOLL	J. C. HINRICHS'SCHE BUCHHANDLUNG	1915
tlg2022.tlg003		CHRISTUS PATIENS	DR. J. G. BRAMBS.	DR. J. G. BRAMBS.	IN AEDIBUS B. G. TEUBNERI.	MDCCCLXXXV.
tlg2022.tlg007		THE FIVE THEOLOGICAL ORATIONS OF GREGORY OF NAZIANZUS	ARTHUR JAMES MASON, D.D.	ARTHUR JAMES MASON, D.D.	AT THE UNIVERSITY PRESS.	1899
tlg2022.tlg008		THE FIVE THEOLOGICAL ORATIONS OF GREGORY OF NAZIANZUS	ARTHUR JAMES MASON, D.D.	ARTHUR JAMES MASON, D.D.	AT THE UNIVERSITY PRESS.	1899
tlg2022.tlg009		THE FIVE THEOLOGICAL ORATIONS OF GREGORY OF NAZIANZUS	ARTHUR JAMES MASON, D.D.	ARTHUR JAMES MASON, D.D.	AT THE UNIVERSITY PRESS.	1899
tlg2022.tlg010		THE FIVE THEOLOGICAL ORATIONS OF GREGORY OF NAZIANZUS	ARTHUR JAMES MASON, D.D.	ARTHUR JAMES MASON, D.D.	AT THE UNIVERSITY PRESS.	1899
tlg2022.tlg011		THE FIVE THEOLOGICAL ORATIONS OF GREGORY OF NAZIANZUS	ARTHUR JAMES MASON, D.D.	ARTHUR JAMES MASON, D.D.	AT THE UNIVERSITY PRESS.	1899
tlg2034.tlg006		COMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXVII.
tlg2034.tlg007		COMENTARIA IN ARISTOTELEM GRAECA	ADOLFUS BUSSE	ADOLFUS BUSSE	TYPIS ET IMPENSIS GEORGII REIMERI	MDCCCLXXXVII.
tlg2036.tlg001.opp-grc1		In Aristotelis Categorias Commentarium	Dexippus	Adolfus Busse	Berolini: Typis et Impensis G. Reimeri	1888
tlg2041.tlg001		EUSEBIUS WERKE VIERTER BAND GEGEN MARCELL ÜBER DIE KIRCHLICHE THEOLOGIE DIE FRAGMENTE MARCELLS	RICHARDUS FOERSTER.	Professor Lic. Dr. ERICH KLOSTERMANN	J. C. HINRICHS'sche BUCHHANDLUNG	1906
